"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-04","68","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-05","74","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-06","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-07","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-08","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-09","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-10","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-11","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-12","78","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-13","77","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-14","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-15","74","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-16","86","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-17","90","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-18","84","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-19","79","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-20","76","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-21","75","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-22","76","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-23","74","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-24","75","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-25","71","58"
