"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-16","58","67","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-17","57","62","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-18","58","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-19","57","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-20","56","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-21","56","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-22","58","70","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-23","58","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-24","56","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-25","59","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-26","58","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-27","58","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-28","61","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-29","57","60","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-30","59","73","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-31","62","76","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-01","63","72","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-02","59","67","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-03","60","72","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-04","61","68","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-05","63","74","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-06","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-07","60","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-08","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-09","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-10","61","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-11","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-12","68","78","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-13","67","77","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-14","68","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-15","64","74","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-16","68","86","58"
